device,model,task,image,resolution,experiment,metric,value,n_iters,measured_at
cpu,yolo11n,detection,set,320,cold_start,first_call_ms,5260.203779995209,1,2026-07-01
cpu,yolo11n,detection,set,320,warm_latency,mean_ms,269.3268078015535,10,2026-07-01
cpu,yolo11n,detection,set,320,warm_latency,median_ms,248.33974900684552,10,2026-07-01
cpu,yolo11n,detection,set,320,warm_latency,std_ms,95.17427483316591,10,2026-07-01
cpu,yolo11n,detection,set,320,throughput,imgs_per_sec,3.7129612464601895,10,2026-07-01
cpu,yolo11n,detection,set,320,peak_rss,rss_mb,457.8046875,1,2026-07-01
cpu,yolo11n,detection,set,640,cold_start,first_call_ms,313.20790899917483,1,2026-07-01
cpu,yolo11n,detection,set,640,warm_latency,mean_ms,243.7682692980161,10,2026-07-01
cpu,yolo11n,detection,set,640,warm_latency,median_ms,237.74359650269616,10,2026-07-01
cpu,yolo11n,detection,set,640,warm_latency,std_ms,72.9542180333695,10,2026-07-01
cpu,yolo11n,detection,set,640,throughput,imgs_per_sec,4.102256634465667,10,2026-07-01
cpu,yolo11n,detection,set,640,peak_rss,rss_mb,478.0859375,1,2026-07-01
cpu,yolo11n,detection,set,960,cold_start,first_call_ms,518.9607799984515,1,2026-07-01
cpu,yolo11n,detection,set,960,warm_latency,mean_ms,290.20029670209624,10,2026-07-01
cpu,yolo11n,detection,set,960,warm_latency,median_ms,268.37933349452214,10,2026-07-01
cpu,yolo11n,detection,set,960,warm_latency,std_ms,96.49318604638874,10,2026-07-01
cpu,yolo11n,detection,set,960,throughput,imgs_per_sec,3.4458958566349964,10,2026-07-01
cpu,yolo11n,detection,set,960,peak_rss,rss_mb,486.07421875,1,2026-07-01
cpu,yolo11n,detection,set,1280,cold_start,first_call_ms,467.5907670025481,1,2026-07-01
cpu,yolo11n,detection,set,1280,warm_latency,mean_ms,308.1960755982436,10,2026-07-01
cpu,yolo11n,detection,set,1280,warm_latency,median_ms,291.9552969979122,10,2026-07-01
cpu,yolo11n,detection,set,1280,warm_latency,std_ms,113.47523983966619,10,2026-07-01
cpu,yolo11n,detection,set,1280,throughput,imgs_per_sec,3.2446876491171612,10,2026-07-01
cpu,yolo11n,detection,set,1280,peak_rss,rss_mb,497.078125,1,2026-07-01
cpu,yolo11n-seg,segmentation,set,320,cold_start,first_call_ms,530.7939930062275,1,2026-07-01
cpu,yolo11n-seg,segmentation,set,320,warm_latency,mean_ms,366.7694891002611,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,320,warm_latency,median_ms,364.57215499831364,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,320,warm_latency,std_ms,60.53590128349383,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,320,throughput,imgs_per_sec,2.7265081467194707,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,320,peak_rss,rss_mb,529.6875,1,2026-07-01
cpu,yolo11n-seg,segmentation,set,640,cold_start,first_call_ms,527.8563370084157,1,2026-07-01
cpu,yolo11n-seg,segmentation,set,640,warm_latency,mean_ms,432.69502829934936,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,640,warm_latency,median_ms,432.2392284957459,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,640,warm_latency,std_ms,57.73105553394526,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,640,throughput,imgs_per_sec,2.311096579802102,10,2026-07-01
cpu,yolo11n-seg,segmentation,set,640,peak_rss,rss_mb,551.70703125,1,2026-07-01
