device,model,task,image,resolution,experiment,metric,value,n_iters,measured_at
cuda,yolo11n,detection,set,320,cold_start,first_call_ms,7963.048267999966,1,2026-06-30
cuda,yolo11n,detection,set,320,warm_latency,mean_ms,20.497100599991427,50,2026-06-30
cuda,yolo11n,detection,set,320,warm_latency,median_ms,19.989361999989796,50,2026-06-30
cuda,yolo11n,detection,set,320,warm_latency,std_ms,1.6147162320784043,50,2026-06-30
cuda,yolo11n,detection,set,320,throughput,imgs_per_sec,48.78738800747352,50,2026-06-30
cuda,yolo11n,detection,set,320,peak_gpu,gpu_mem_mb,69.84375,1,2026-06-30
cuda,yolo11n,detection,set,640,cold_start,first_call_ms,175.10944399998607,1,2026-06-30
cuda,yolo11n,detection,set,640,warm_latency,mean_ms,22.562716539998746,50,2026-06-30
cuda,yolo11n,detection,set,640,warm_latency,median_ms,18.634982999969907,50,2026-06-30
cuda,yolo11n,detection,set,640,warm_latency,std_ms,6.2163762922842905,50,2026-06-30
cuda,yolo11n,detection,set,640,throughput,imgs_per_sec,44.32090427707229,50,2026-06-30
cuda,yolo11n,detection,set,640,peak_gpu,gpu_mem_mb,71.859375,1,2026-06-30
cuda,yolo11n,detection,set,960,cold_start,first_call_ms,121.98351500001081,1,2026-06-30
cuda,yolo11n,detection,set,960,warm_latency,mean_ms,23.63477499999135,50,2026-06-30
cuda,yolo11n,detection,set,960,warm_latency,median_ms,23.053071500044098,50,2026-06-30
cuda,yolo11n,detection,set,960,warm_latency,std_ms,2.270274726261693,50,2026-06-30
cuda,yolo11n,detection,set,960,throughput,imgs_per_sec,42.31053606392978,50,2026-06-30
cuda,yolo11n,detection,set,960,peak_gpu,gpu_mem_mb,73.875,1,2026-06-30
cuda,yolo11n,detection,set,1280,cold_start,first_call_ms,132.60193899998285,1,2026-06-30
cuda,yolo11n,detection,set,1280,warm_latency,mean_ms,32.63806645999466,50,2026-06-30
cuda,yolo11n,detection,set,1280,warm_latency,median_ms,31.792979499925877,50,2026-06-30
cuda,yolo11n,detection,set,1280,warm_latency,std_ms,2.663444633215822,50,2026-06-30
cuda,yolo11n,detection,set,1280,throughput,imgs_per_sec,30.639069910153115,50,2026-06-30
cuda,yolo11n,detection,set,1280,peak_gpu,gpu_mem_mb,75.890625,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,320,cold_start,first_call_ms,673.2386799999404,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,320,warm_latency,mean_ms,74.26791741999978,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,320,warm_latency,median_ms,72.16573199997356,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,320,warm_latency,std_ms,5.048784359845878,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,320,throughput,imgs_per_sec,13.464764258095485,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,320,peak_gpu,gpu_mem_mb,94.2685546875,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,640,cold_start,first_call_ms,226.27689599994483,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,640,warm_latency,mean_ms,132.42898738000122,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,640,warm_latency,median_ms,114.7479915000531,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,640,warm_latency,std_ms,31.719926608194438,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,640,throughput,imgs_per_sec,7.551216842959981,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,640,peak_gpu,gpu_mem_mb,124.7578125,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,960,cold_start,first_call_ms,218.97057599994696,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,960,warm_latency,mean_ms,132.82246049999912,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,960,warm_latency,median_ms,115.33868899999788,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,960,warm_latency,std_ms,31.37017358189968,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,960,throughput,imgs_per_sec,7.528847125972392,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,960,peak_gpu,gpu_mem_mb,111.728515625,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,1280,cold_start,first_call_ms,337.2882240000763,1,2026-06-30
cuda,yolo11n-seg,segmentation,set,1280,warm_latency,mean_ms,113.29419038000424,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,1280,warm_latency,median_ms,111.00227499997573,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,1280,warm_latency,std_ms,12.920318492638202,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,1280,throughput,imgs_per_sec,8.826577926422026,50,2026-06-30
cuda,yolo11n-seg,segmentation,set,1280,peak_gpu,gpu_mem_mb,90.48828125,1,2026-06-30
cuda,sam2-tiny,segmentation,set,320,cold_start,first_call_ms,8441.38375099999,1,2026-06-30
cuda,sam2-tiny,segmentation,set,320,warm_latency,mean_ms,133.25253881999743,50,2026-06-30
cuda,sam2-tiny,segmentation,set,320,warm_latency,median_ms,132.56655599997202,50,2026-06-30
cuda,sam2-tiny,segmentation,set,320,warm_latency,std_ms,2.366111762246144,50,2026-06-30
cuda,sam2-tiny,segmentation,set,320,throughput,imgs_per_sec,7.5045474469408635,50,2026-06-30
cuda,sam2-tiny,segmentation,set,320,peak_gpu,gpu_mem_mb,567.9365234375,1,2026-06-30
cuda,sam2-tiny,segmentation,set,640,cold_start,first_call_ms,656.0414000000492,1,2026-06-30
