device,model,task,image_id,latency_ms,resolution,measured_at
cpu,yolo11n,detection,000000000009,241.22311899554916,640,2026-07-01
cpu,yolo11n,detection,000000000025,252.17488600173965,640,2026-07-01
cpu,yolo11n,detection,000000000030,155.97506499034353,640,2026-07-01
cpu,yolo11n,detection,000000000034,186.61762299598195,640,2026-07-01
cpu,yolo11n,detection,000000000036,240.03704701317474,640,2026-07-01
cpu,yolo11n,detection,000000000042,260.98495797486976,640,2026-07-01
cpu,yolo11n,detection,000000000049,221.87744997791015,640,2026-07-01
cpu,yolo11n,detection,000000000061,151.39246699982323,640,2026-07-01
cpu,yolo11n,detection,000000000064,310.25437300559133,640,2026-07-01
cpu,yolo11n,detection,000000000071,290.80123800667934,640,2026-07-01
cpu,yolo11n,detection,000000000072,223.4101509966422,640,2026-07-01
cpu,yolo11n,detection,000000000073,153.1102079898119,640,2026-07-01
cpu,yolo11n,detection,000000000074,240.10759897646494,640,2026-07-01
cpu,yolo11n,detection,000000000077,292.43215499445796,640,2026-07-01
cpu,yolo11n,detection,000000000078,365.37141099688597,640,2026-07-01
cpu,yolo11n,detection,000000000081,167.84777998691425,640,2026-07-01
cpu,yolo11n,detection,000000000086,293.6759529984556,640,2026-07-01
cpu,yolo11n,detection,000000000089,329.8937559884507,640,2026-07-01
cpu,yolo11n,detection,000000000092,225.147664983524,640,2026-07-01
cpu,yolo11n,detection,000000000094,204.14666199940257,640,2026-07-01
cpu,yolo11n,detection,000000000109,286.71243198914453,640,2026-07-01
cpu,yolo11n,detection,000000000110,275.95443502650596,640,2026-07-01
cpu,yolo11n,detection,000000000113,211.3571199879516,640,2026-07-01
cpu,yolo11n,detection,000000000127,159.19398699770682,640,2026-07-01
cpu,yolo11n,detection,000000000133,303.11280899331905,640,2026-07-01
cpu,yolo11n,detection,000000000136,322.9864429740701,640,2026-07-01
cpu,yolo11n,detection,000000000138,216.24862900353037,640,2026-07-01
cpu,yolo11n,detection,000000000142,161.10318401479162,640,2026-07-01
cpu,yolo11n,detection,000000000143,233.63479899126105,640,2026-07-01
cpu,yolo11n,detection,000000000144,266.50250802049413,640,2026-07-01
cpu,yolo11n,detection,000000000149,245.4860259895213,640,2026-07-01
cpu,yolo11n,detection,000000000151,157.20517002046108,640,2026-07-01
cpu,yolo11n,detection,000000000154,170.2498510130681,640,2026-07-01
cpu,yolo11n,detection,000000000164,261.28114500897937,640,2026-07-01
cpu,yolo11n,detection,000000000165,265.0854669918772,640,2026-07-01
cpu,yolo11n,detection,000000000192,210.0932970060967,640,2026-07-01
cpu,yolo11n,detection,000000000194,147.66330301063135,640,2026-07-01
cpu,yolo11n,detection,000000000196,215.63237698865123,640,2026-07-01
cpu,yolo11n,detection,000000000201,286.82956800912507,640,2026-07-01
cpu,yolo11n,detection,000000000208,301.2633280013688,640,2026-07-01
cpu,yolo11n,detection,000000000241,196.0817130166106,640,2026-07-01
cpu,yolo11n,detection,000000000247,213.05012400262058,640,2026-07-01
cpu,yolo11n,detection,000000000250,275.0150990032125,640,2026-07-01
cpu,yolo11n,detection,000000000257,269.91669900598936,640,2026-07-01
cpu,yolo11n,detection,000000000260,187.461583991535,640,2026-07-01
cpu,yolo11n,detection,000000000263,230.911663005827,640,2026-07-01
cpu,yolo11n,detection,000000000283,249.2971080064308,640,2026-07-01
cpu,yolo11n,detection,000000000294,357.5977839936968,640,2026-07-01
cpu,yolo11n,detection,000000000307,216.48532900144346,640,2026-07-01
cpu,yolo11n,detection,000000000308,275.55124199716374,640,2026-07-01
cpu,yolo11n,detection,000000000309,244.6120939857792,640,2026-07-01
cpu,yolo11n,detection,000000000312,273.1568180024624,640,2026-07-01
cpu,yolo11n,detection,000000000315,272.80395198613405,640,2026-07-01
cpu,yolo11n,detection,000000000321,277.42142899660394,640,2026-07-01
cpu,yolo11n,detection,000000000322,313.13581799622625,640,2026-07-01
cpu,yolo11n,detection,000000000326,235.78879999695346,640,2026-07-01
cpu,yolo11n,detection,000000000328,179.471152019687,640,2026-07-01
cpu,yolo11n,detection,000000000332,284.7644589783158,640,2026-07-01
cpu,yolo11n,detection,000000000338,286.40954598085955,640,2026-07-01
cpu,yolo11n,detection,000000000349,239.63746498338878,640,2026-07-01
cpu,yolo11n,detection,000000000357,177.4261400278192,640,2026-07-01
cpu,yolo11n,detection,000000000359,355.2714599936735,640,2026-07-01
cpu,yolo11n,detection,000000000360,342.16354999807663,640,2026-07-01
cpu,yolo11n,detection,000000000368,192.67059399862774,640,2026-07-01
cpu,yolo11n,detection,000000000370,219.54390802420676,640,2026-07-01
cpu,yolo11n,detection,000000000382,266.3305229798425,640,2026-07-01
cpu,yolo11n,detection,000000000384,224.81694800080732,640,2026-07-01
