device,model,task,image_id,latency_ms,resolution,measured_at
cuda,yolo11n,detection,000000000009,16.624837000108528,640,2026-07-01
cuda,yolo11n,detection,000000000025,14.57477000030849,640,2026-07-01
cuda,yolo11n,detection,000000000030,15.280749999874388,640,2026-07-01
cuda,yolo11n,detection,000000000034,14.384886999778246,640,2026-07-01
cuda,yolo11n,detection,000000000036,16.129023000303278,640,2026-07-01
cuda,yolo11n,detection,000000000042,14.77787800013175,640,2026-07-01
cuda,yolo11n,detection,000000000049,16.679036999903474,640,2026-07-01
cuda,yolo11n,detection,000000000061,14.385507000042708,640,2026-07-01
cuda,yolo11n,detection,000000000064,15.707107999787695,640,2026-07-01
cuda,yolo11n,detection,000000000071,23.429715000020224,640,2026-07-01
cuda,yolo11n,detection,000000000072,15.872333999595867,640,2026-07-01
cuda,yolo11n,detection,000000000073,14.920057999916025,640,2026-07-01
cuda,yolo11n,detection,000000000074,16.886175000308867,640,2026-07-01
cuda,yolo11n,detection,000000000077,16.22815399969113,640,2026-07-01
cuda,yolo11n,detection,000000000078,14.88162099985857,640,2026-07-01
cuda,yolo11n,detection,000000000081,14.286866000020382,640,2026-07-01
cuda,yolo11n,detection,000000000086,15.74337000010928,640,2026-07-01
cuda,yolo11n,detection,000000000089,23.90992999971786,640,2026-07-01
cuda,yolo11n,detection,000000000092,15.520614000251953,640,2026-07-01
cuda,yolo11n,detection,000000000094,15.06590300004973,640,2026-07-01
cuda,yolo11n,detection,000000000109,16.921036999974604,640,2026-07-01
cuda,yolo11n,detection,000000000110,23.871238000083395,640,2026-07-01
cuda,yolo11n,detection,000000000113,20.557078000365436,640,2026-07-01
cuda,yolo11n,detection,000000000127,29.545141000198782,640,2026-07-01
cuda,yolo11n,detection,000000000133,15.054483999847434,640,2026-07-01
cuda,yolo11n,detection,000000000136,16.295774999889545,640,2026-07-01
cuda,yolo11n,detection,000000000138,18.16566099978445,640,2026-07-01
cuda,yolo11n,detection,000000000142,17.771402000107628,640,2026-07-01
cuda,yolo11n,detection,000000000143,18.090562999987014,640,2026-07-01
cuda,yolo11n,detection,000000000144,16.42188100004205,640,2026-07-01
cuda,yolo11n,detection,000000000149,19.10206200000175,640,2026-07-01
cuda,yolo11n,detection,000000000151,14.592139999876963,640,2026-07-01
cuda,yolo11n,detection,000000000154,15.51736900000833,640,2026-07-01
cuda,yolo11n,detection,000000000164,16.446944000108488,640,2026-07-01
cuda,yolo11n,detection,000000000165,15.930998000385443,640,2026-07-01
cuda,yolo11n,detection,000000000192,16.491806999965775,640,2026-07-01
cuda,yolo11n,detection,000000000194,15.033722999760357,640,2026-07-01
cuda,yolo11n,detection,000000000196,32.24921399987579,640,2026-07-01
cuda,yolo11n,detection,000000000201,15.89466400037054,640,2026-07-01
cuda,yolo11n,detection,000000000208,15.74407499992958,640,2026-07-01
cuda,yolo11n,detection,000000000241,21.885386000121798,640,2026-07-01
cuda,yolo11n,detection,000000000247,15.442218000316643,640,2026-07-01
cuda,yolo11n,detection,000000000250,13.551238999752968,640,2026-07-01
cuda,yolo11n,detection,000000000257,21.988838999732252,640,2026-07-01
cuda,yolo11n,detection,000000000260,15.472494000277948,640,2026-07-01
cuda,yolo11n,detection,000000000263,15.159716000198387,640,2026-07-01
cuda,yolo11n,detection,000000000283,16.165620999800012,640,2026-07-01
cuda,yolo11n,detection,000000000294,15.767594999942958,640,2026-07-01
cuda,yolo11n,detection,000000000307,15.92278099997202,640,2026-07-01
cuda,yolo11n,detection,000000000308,17.98656899973139,640,2026-07-01
cuda,yolo11n,detection,000000000309,15.523092999956134,640,2026-07-01
cuda,yolo11n,detection,000000000312,16.17211100028726,640,2026-07-01
